,Country,Number,Latitude,Longitude
31,United States,246,37.0902,-95.7129
10,India,141,20.5937,78.9629
3,Brazil,138,-14.235,-51.9253
11,Indonesia,99,-0.7893,113.9213
16,Mexico,36,23.6345,-102.5528
24,Spain,34,40.4637,-3.7492
21,Russia,23,61.524,105.3188
2,Argentina,21,-38.4161,-63.6167
30,United Kingdom,20,55.3781,-3.436
12,Iran,19,32.4279,53.688
27,Turkey,16,38.9637,35.2433
14,Italy,12,41.8719,12.5674
6,Colombia,12,4.5709,-74.2973
23,South Korea,8,35.9078,127.7669
19,Philippines,7,12.8797,121.774
26,Thailand,6,15.87,100.9925
7,Egypt,5,26.8206,30.8025
8,France,5,46.6034,1.8883
13,Iraq,5,33.2232,43.6793
9,Germany,3,51.1657,10.4515
17,Morocco,3,31.7917,-7.0926
18,Nigeria,2,9.082,8.6753
15,Japan,2,36.2048,138.2529
28,Ukraine,1,48.3794,31.1656
29,United Arab Emirates,1,23.4241,53.8478
5,China,1,35.8617,104.1954
25,Syria,1,34.8021,38.9968
22,Serbia,1,44.0165,21.0059
20,Poland,1,51.9194,19.1451
1,Algeria,1,28.0339,1.6596
4,Chile,1,-35.6751,-71.543
0,Albania,1,41.1533,20.1683
